nucleic_acid,library_type,species,strain
dna,paired,P.ideai,371
dna,paired,P.fragariae,SCRP245
dna,mate-paired,P.fragariae,SCRP245
dna,mate-paired,P.cactorum,10300
dna,paired,P.cactorum,404
dna,paired,P.cactorum,411
dna,paired,P.cactorum,414
